Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Threshold,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Curve Quality,Result Quality Issues
G1,false,1866,GAPDH,Unknown,SYBR,20.855011672407528,0.9884489634613312,2.827100931975301,Amp,false,98309.513954869,3,11,85.0262680053711,,,,,
G2,false,1866,GAPDH,Unknown,SYBR,20.75798853382966,0.9835363372603165,2.827220456996829,Amp,false,98309.513954869,3,12,85.0262680053711,,,,,
G3,false,1866,GAPDH,Unknown,SYBR,20.789420224920427,0.9826013204914739,2.8229932320243627,Amp,false,98309.513954869,3,11,85.0262680053711,,,,,
G5,false,1866,RPL,Unknown,SYBR,15.763009243107518,0.990483383612888,2.8249686885732275,Amp,false,77860.66286623265,3,8,82.88780212402344,,,,,
G6,false,1866,RPL,Unknown,SYBR,15.785634091915743,0.9892695838997242,2.818688123561628,Amp,false,77860.66286623265,3,7,83.00054931640625,,,,,
G7,false,1866,RPL,Unknown,SYBR,15.768493427583198,0.9798747555610985,2.818015185277359,Amp,false,77860.66286623265,3,8,83.00054931640625,,,,,
G9,false,1866,ACT,Unknown,SYBR,15.837776445431476,0.9927805844383452,2.8086317090241826,Amp,false,60647.08996969879,3,8,88.86073303222656,,,,,
G10,false,1866,ACT,Unknown,SYBR,15.902505618761388,0.9894677947435224,2.8025185832861736,Amp,false,60647.08996969879,3,9,88.86073303222656,,,,,
G11,false,1866,ACT,Unknown,SYBR,15.990813688828187,0.9895845693888816,2.7990343634321935,Amp,false,60647.08996969879,3,9,88.86073303222656,,,,,
G13,false,1866,71,Unknown,SYBR,23.483966778913064,0.9807277453637802,2.8112668493237813,Amp,false,68722.3657709478,3,14,86.82943725585938,,,,,
G14,false,1866,71,Unknown,SYBR,23.57147820416113,0.9859322777912746,2.8004275866375066,Amp,false,68722.3657709478,3,14,86.82943725585938,,,,,
G15,false,1866,71,Unknown,SYBR,23.51635459950179,0.9887171625625584,2.8107636254528887,Amp,false,68722.3657709478,3,14,86.82943725585938,,,,,
G17,false,1866,75,Unknown,SYBR,20.638719787066876,0.9802296284620127,2.8071406959268064,Amp,false,82906.6692880069,3,11,88.1797866821289,,,,,
G18,false,1866,75,Unknown,SYBR,20.578821224603082,0.9840742286966221,2.8115946480487772,Amp,false,82906.6692880069,3,12,88.1797866821289,,,,,
G19,false,1866,75,Unknown,SYBR,20.522070599056768,0.9869018504677841,2.8127575232926922,Amp,false,82906.6692880069,3,10,88.1797866821289,,,,,
G21,false,1866,BLIMP,Unknown,SYBR,20.4435012703482,0.9915363406842098,2.8137936502776375,Amp,false,55077.221041119046,3,13,89.989013671875,,,,,
G22,false,1866,BLIMP,Unknown,SYBR,20.426085396186707,0.9888770431397194,2.8129873058134387,Amp,false,55077.221041119046,3,13,89.989013671875,,,,,
G23,false,1866,BLIMP,Unknown,SYBR,20.47360512476289,0.9915085247126807,2.810062356263731,Amp,false,55077.221041119046,3,13,89.989013671875,,,,,
I1,false,18121,GAPDH,Unknown,SYBR,18.044003618826494,0.9798080975050314,2.829054468953718,Amp,false,98309.513954869,3,8,85.0262680053711,,,,,
I2,false,18121,GAPDH,Unknown,SYBR,17.977531161220128,0.987083913396717,2.821887958699882,Amp,false,98309.513954869,3,10,85.0262680053711,,,,,
I3,false,18121,GAPDH,Unknown,SYBR,18.126933398071003,0.9771517916514466,2.8212849020528012,Amp,false,98309.513954869,3,10,85.0262680053711,,,,,
I5,false,18121,RPL,Unknown,SYBR,15.16289783101988,0.9810215398635664,2.8289796420792066,Amp,false,77860.66286623265,3,8,83.00054931640625,,,,,
I6,false,18121,RPL,Unknown,SYBR,15.2134802343772,0.9842520946965836,2.822641176939672,Amp,false,77860.66286623265,3,8,83.00054931640625,,,,,
